-------- day 0 --------
name, sellIn, quality
Chaleco de Invisibilidad, 10, 20
Queso Brie Añejado, 2, 0
Elixir of the Mongoose, 5, 7
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 15, 20
Pases de Backstage, 10, 49
Pases de Backstage, 5, 49

-------- day 1 --------
name, sellIn, quality
Chaleco de Invisibilidad, 9, 19
Queso Brie Añejado, 1, 1
Elixir of the Mongoose, 4, 6
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 14, 21
Pases de Backstage, 9, 50
Pases de Backstage, 4, 50

-------- day 2 --------
name, sellIn, quality
Chaleco de Invisibilidad, 8, 18
Queso Brie Añejado, 0, 2
Elixir of the Mongoose, 3, 5
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 13, 22
Pases de Backstage, 8, 50
Pases de Backstage, 3, 50

-------- day 3 --------
name, sellIn, quality
Chaleco de Invisibilidad, 7, 17
Queso Brie Añejado, -1, 4
Elixir of the Mongoose, 2, 4
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 12, 23
Pases de Backstage, 7, 50
Pases de Backstage, 2, 50

-------- day 4 --------
name, sellIn, quality
Chaleco de Invisibilidad, 6, 16
Queso Brie Añejado, -2, 6
Elixir of the Mongoose, 1, 3
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 11, 24
Pases de Backstage, 6, 50
Pases de Backstage, 1, 50

-------- day 5 --------
name, sellIn, quality
Chaleco de Invisibilidad, 5, 15
Queso Brie Añejado, -3, 8
Elixir of the Mongoose, 0, 2
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 10, 25
Pases de Backstage, 5, 50
Pases de Backstage, 0, 50

-------- day 6 --------
name, sellIn, quality
Chaleco de Invisibilidad, 4, 14
Queso Brie Añejado, -4, 10
Elixir of the Mongoose, -1, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 9, 27
Pases de Backstage, 4, 50
Pases de Backstage, -1, 0

-------- day 7 --------
name, sellIn, quality
Chaleco de Invisibilidad, 3, 13
Queso Brie Añejado, -5, 12
Elixir of the Mongoose, -2, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 8, 29
Pases de Backstage, 3, 50
Pases de Backstage, -2, 0

-------- day 8 --------
name, sellIn, quality
Chaleco de Invisibilidad, 2, 12
Queso Brie Añejado, -6, 14
Elixir of the Mongoose, -3, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 7, 31
Pases de Backstage, 2, 50
Pases de Backstage, -3, 0

-------- day 9 --------
name, sellIn, quality
Chaleco de Invisibilidad, 1, 11
Queso Brie Añejado, -7, 16
Elixir of the Mongoose, -4, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 6, 33
Pases de Backstage, 1, 50
Pases de Backstage, -4, 0

-------- day 10 --------
name, sellIn, quality
Chaleco de Invisibilidad, 0, 10
Queso Brie Añejado, -8, 18
Elixir of the Mongoose, -5, 0
Sulfuras, 0, 80
